title,topic,url,total_feedback_check,EU citizen,Non-EU citizen,Academic/research Institution,Company/business,Business association,Non-governmental organisation (NGO),Other,Trade union,Environmental organisation,Public authority,Consumer organisation,index_ref,Prefer not to answer
Food labelling - revision of rules on information provided to consumers for alcoholic beveragesTopicFood safetyType of actProposal for a regulationFeedback period13 December 2021 - 07 March 2022,Food safety,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13028-Food-labelling-revision-of-rules-on-information-provided-to-consumers-for-alcoholic-beverages/feedback_en?p_id=14726,82.0,13,0.0,2.0,6.0,24.0,29.0,0.0,0.0,2.0,3.0,3.0,137.0,0.0
CO2 emissions from shipping – encouraging the use of low-carbon fuelsTopicTransportType of actProposal for a regulationFeedback period02 July 2020 - 10 September 2020,Transport,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12312-CO2-emissions-from-shipping-encouraging-the-use-of-low-carbon-fuels/feedback_en?p_id=12951,81.0,6,0.0,3.0,24.0,31.0,9.0,2.0,0.0,1.0,5.0,0.0,138.0,0.0
Climate change – new rules to prevent methane leakage in the energy sectorTopicEnergyType of actProposal for a regulationFeedback period05 February 2021 - 01 May 2021,Energy,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12581-Climate-change-new-rules-to-prevent-methane-leakage-in-the-energy-sector/feedback_en?p_id=14002,79.0,6,1.0,4.0,27.0,19.0,8.0,5.0,1.0,6.0,2.0,0.0,140.0,0.0
Open finance framework – enabling data sharing and third party access in the financial sectorTopicBanking and financial servicesType of actProposal for a regulationFeedback period10 May 2022 - 02 August 2022,Banking and financial services,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13241-Open-finance-framework-enabling-data-sharing-and-third-party-access-in-the-financial-sector/feedback_en?p_id=15918,79.0,56,1.0,0.0,3.0,14.0,0.0,3.0,1.0,0.0,0.0,1.0,141.0,0.0
Corporate Sustainability ReportingTopicBanking and financial servicesType of actProposal for a directiveFeedback period20 February 2020 - 11 June 2020,Banking and financial services,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12129-Corporate-Sustainability-Reporting/feedback_en?p_id=12405,78.0,4,0.0,1.0,15.0,27.0,16.0,10.0,1.0,0.0,4.0,0.0,142.0,0.0
Consumer policy – strengthening the role of consumers in the green transitionTopicConsumersType of actProposal for a directiveFeedback period30 June 2020 - 06 October 2020,Consumers,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12467-Consumer-policy-strengthening-the-role-of-consumers-in-the-green-transition/feedback_en?p_id=13221,77.0,3,0.0,2.0,17.0,23.0,19.0,3.0,0.0,2.0,5.0,3.0,143.0,0.0
State aid in the aviation sector – Commission guidelines on airports and airlines (revision)TopicCompetitionType of actCommunicationFeedback period11 December 2024 - 05 March 2025,Competition,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13915-State-aid-in-the-aviation-sector-Commission-guidelines-on-airports-and-airlines-revision-/feedback_en?p_id=18613,77.0,16,0.0,0.0,26.0,12.0,5.0,2.0,1.0,1.0,13.0,1.0,144.0,0.0
"Construction products – review of EU rulesTopicBusiness and industry, Single marketType of actProposal for a regulationFeedback period04 September 2020 - 25 December 2020","Business and industry, Single market",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12458-Construction-products-review-of-EU-rules/feedback_en?p_id=13198,76.0,1,0.0,1.0,14.0,39.0,4.0,10.0,2.0,1.0,4.0,0.0,145.0,0.0
Fluorinated greenhouse gases – review of EU rules (2015-20)TopicClimate actionType of actProposal for a regulationFeedback period15 September 2020 - 29 December 2020,Climate action,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12479-Fluorinated-greenhouse-gases-review-of-EU-rules-2015-20-/feedback_en?p_id=13237,76.0,6,0.0,0.0,34.0,16.0,11.0,1.0,0.0,3.0,4.0,0.0,146.0,0.0
Gender equality strategy 2020-2024TopicEmployment and social affairsType of actCommunicationFeedback period08 March 2019 - 31 May 2019,Employment and social affairs,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12114-Gender-equality-strategy-2020-2024/feedback_en?p_id=12384,74.0,10,1.0,6.0,5.0,6.0,35.0,3.0,3.0,0.0,5.0,0.0,147.0,0.0
"Review of the EU school fruit, vegetables and milk scheme - EU aidTopicAgriculture and rural developmentType of actProposal for a regulationFeedback period05 May 2022 - 28 July 2022",Agriculture and rural development,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12971-Review-of-the-EU-school-fruit-vegetables-and-milk-scheme-EU-aid/feedback_en?p_id=14741,74.0,20,0.0,1.0,5.0,12.0,24.0,6.0,1.0,0.0,4.0,0.0,148.0,0.0
"Review of the EU school fruit, vegetables and milk schemeTopicAgriculture and rural developmentType of actProposal for a regulationFeedback period05 May 2022 - 28 July 2022",Agriculture and rural development,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12970-Review-of-the-EU-school-fruit-vegetables-and-milk-scheme/feedback_en?p_id=14741,74.0,20,0.0,1.0,5.0,12.0,24.0,6.0,1.0,0.0,4.0,0.0,149.0,0.0
Trans-European transport network (TEN-T) - revised guidelinesTopicTransportType of actProposal for a regulationFeedback period10 February 2021 - 05 May 2021,Transport,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12532-Trans-European-transport-network-TEN-T-revised-guidelines/feedback_en?p_id=13839,74.0,2,0.0,0.0,13.0,14.0,15.0,6.0,0.0,5.0,18.0,1.0,150.0,0.0
Single Market – new complementary tool to strengthen competition enforcementTopicCompetitionType of actProposal for a regulationFeedback period03 June 2020 - 08 September 2020,Competition,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12416-Single-Market-new-complementary-tool-to-strengthen-competition-enforcement/feedback_en?p_id=13124,73.0,5,0.0,6.0,23.0,17.0,9.0,4.0,2.0,0.0,3.0,4.0,151.0,0.0
Tourist services – short-term rental initiativeTopicSingle marketType of actProposal for a regulationFeedback period27 September 2021 - 13 December 2021,Single market,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13108-Tourist-services-short-term-rental-initiative/feedback_en?p_id=15058,71.0,39,0.0,0.0,7.0,14.0,4.0,2.0,2.0,0.0,1.0,1.0,152.0,0.0
