title,topic,url,total_feedback_check,EU citizen,Non-EU citizen,Academic/research Institution,Company/business,Business association,Non-governmental organisation (NGO),Other,Trade union,Environmental organisation,Public authority,Consumer organisation,index_ref,Prefer not to answer,EU citizen (%),Non-EU citizen (%),Academic/research Institution (%),Company/business (%),Business association (%),Non-governmental organisation (NGO) (%),Other (%),Trade union (%),Environmental organisation (%),Public authority (%),Consumer organisation (%),Prefer not to answer (%)
"EU Green Deal (carbon border adjustment mechanism)TopicClimate action, Customs, Taxation, TradeType of actProposal for a regulationFeedback period22 July 2020 - 28 October 2020","Climate action, Customs, Taxation, Trade",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12228-EU-Green-Deal-carbon-border-adjustment-mechanism-/feedback_en?p_id=12842,224.0,19,2.0,11.0,62.0,91.0,20.0,5.0,6.0,3.0,4.0,1.0,59.0,0.0,8.482142857142858,0.8928571428571428,4.910714285714286,27.67857142857143,40.625,8.928571428571429,2.232142857142857,2.6785714285714284,1.3392857142857142,1.7857142857142856,0.4464285714285714,0.0
"EU Green Deal – Revision of the Energy Taxation DirectiveTopicClimate action, Energy, TaxationType of actProposal for a directiveFeedback period22 July 2020 - 14 October 2020","Climate action, Energy, Taxation",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12227-EU-Green-Deal-Revision-of-the-Energy-Taxation-Directive/feedback_en?p_id=12843,180.0,2,0.0,1.0,54.0,94.0,15.0,7.0,1.0,2.0,4.0,0.0,75.0,0.0,1.1111111111111112,0.0,0.5555555555555556,30.0,52.22222222222223,8.333333333333332,3.888888888888889,0.5555555555555556,1.1111111111111112,2.2222222222222223,0.0,0.0
State aid in the aviation sector – Commission guidelines on airports and airlines (revision)TopicCompetitionType of actCommunicationFeedback period11 December 2024 - 05 March 2025,Competition,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13915-State-aid-in-the-aviation-sector-Commission-guidelines-on-airports-and-airlines-revision-/feedback_en?p_id=18613,77.0,16,0.0,0.0,26.0,12.0,5.0,2.0,1.0,1.0,13.0,1.0,144.0,0.0,20.77922077922078,0.0,0.0,33.76623376623377,15.584415584415584,6.493506493506493,2.5974025974025974,1.2987012987012987,1.2987012987012987,16.883116883116884,1.2987012987012987,0.0
Single Market – new complementary tool to strengthen competition enforcementTopicCompetitionType of actProposal for a regulationFeedback period03 June 2020 - 08 September 2020,Competition,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12416-Single-Market-new-complementary-tool-to-strengthen-competition-enforcement/feedback_en?p_id=13124,73.0,5,0.0,6.0,23.0,17.0,9.0,4.0,2.0,0.0,3.0,4.0,151.0,0.0,6.8493150684931505,0.0,8.21917808219178,31.506849315068493,23.28767123287671,12.32876712328767,5.47945205479452,2.73972602739726,0.0,4.10958904109589,5.47945205479452,0.0
Collective bargaining agreements for self-employed – scope of application EU competition rulesTopicCompetitionType of actCommunicationFeedback period05 March 2021 - 31 May 2021,Competition,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12483-Collective-bargaining-agreements-for-self-employed-scope-of-application-EU-competition-rules/feedback_en?p_id=14020,310.0,199,2.0,3.0,16.0,21.0,13.0,14.0,40.0,0.0,2.0,0.0,42.0,0.0,64.19354838709678,0.6451612903225806,0.967741935483871,5.161290322580645,6.774193548387098,4.193548387096775,4.516129032258064,12.903225806451612,0.0,0.6451612903225806,0.0,0.0
State aid - revision of the rules on services of general economic interestTopicCompetitionType of actDecisionFeedback period05 June 2025 - 31 July 2025,Competition,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14708-State-aid-revision-of-the-rules-on-services-of-general-economic-interest/feedback_en?p_id=19786,122.0,13,1.0,1.0,9.0,35.0,27.0,17.0,3.0,0.0,15.0,1.0,100.0,0.0,10.655737704918032,0.819672131147541,0.819672131147541,7.377049180327869,28.688524590163933,22.131147540983605,13.934426229508196,2.459016393442623,0.0,12.295081967213115,0.819672131147541,0.0
State aid for environmental protection and energy – revised guidelinesTopicCompetitionType of actCommunicationFeedback period12 November 2020 - 07 January 2021,Competition,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12616-State-aid-for-environmental-protection-and-energy-revised-guidelines/feedback_en?p_id=13778,108.0,4,0.0,1.0,37.0,49.0,7.0,0.0,0.0,1.0,6.0,2.0,111.0,0.0,3.7037037037037033,0.0,0.9259259259259258,34.25925925925926,45.370370370370374,6.481481481481481,0.0,0.0,0.9259259259259258,5.555555555555555,1.8518518518518516,0.0
Consumer policy – strengthening the role of consumers in the green transitionTopicConsumersType of actProposal for a directiveFeedback period30 June 2020 - 06 October 2020,Consumers,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12467-Consumer-policy-strengthening-the-role-of-consumers-in-the-green-transition/feedback_en?p_id=13221,77.0,3,0.0,2.0,17.0,23.0,19.0,3.0,0.0,2.0,5.0,3.0,143.0,0.0,3.896103896103896,0.0,2.5974025974025974,22.07792207792208,29.87012987012987,24.675324675324674,3.896103896103896,0.0,2.5974025974025974,6.493506493506493,3.896103896103896,0.0
"Gender Equality Strategy 2026-2030TopicConsumers, Employment and social affairs, Justice and fundamental rightsType of actCommunicationFeedback period19 May 2025 - 11 August 2025","Consumers, Employment and social affairs, Justice and fundamental rights",https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14611-Gender-Equality-Strategy-2026-2030/feedback_en?p_id=19674,347.0,132,2.0,16.0,9.0,7.0,131.0,26.0,13.0,0.0,9.0,1.0,37.0,0.0,38.04034582132565,0.5763688760806917,4.610951008645533,2.5936599423631126,2.0172910662824206,37.752161383285305,7.492795389048991,3.7463976945244957,0.0,2.5936599423631126,0.2881844380403458,0.0
Revision of the Union Customs CodeTopicCustomsType of actProposal for a directiveFeedback period20 July 2022 - 19 September 2022,Customs,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13316-Revision-of-the-Union-Customs-Code/feedback_en?p_id=16121,86.0,2,0.0,2.0,33.0,39.0,7.0,1.0,0.0,0.0,1.0,1.0,131.0,0.0,2.3255813953488373,0.0,2.3255813953488373,38.372093023255815,45.348837209302324,8.13953488372093,1.1627906976744187,0.0,0.0,1.1627906976744187,1.1627906976744187,0.0
Digital Europe programme – interim evaluationTopicDigital economy and societyType of actEvaluationFeedback period27 June 2024 - 20 September 2024,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13880-Digital-Europe-programme-interim-evaluation/feedback_en?p_id=18417,103.0,28,1.0,12.0,12.0,14.0,15.0,10.0,1.0,0.0,7.0,3.0,117.0,0.0,27.184466019417474,0.9708737864077669,11.650485436893204,11.650485436893204,13.592233009708737,14.563106796116504,9.70873786407767,0.9708737864077669,0.0,6.796116504854369,2.912621359223301,0.0
Digital Services Act package – ex ante regulatory instrument of very large online platforms acting as gatekeepersTopicDigital economy and societyType of actProposal for a regulationFeedback period02 June 2020 - 08 September 2020,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12418-Digital-Services-Act-package-ex-ante-regulatory-instrument-of-very-large-online-platforms-acting-as-gatekeepers/feedback_en?p_id=13126,85.0,3,0.0,6.0,32.0,20.0,14.0,2.0,2.0,0.0,4.0,2.0,132.0,0.0,3.5294117647058822,0.0,7.0588235294117645,37.64705882352941,23.52941176470588,16.470588235294116,2.3529411764705883,2.3529411764705883,0.0,4.705882352941177,2.3529411764705883,0.0
Cyber resilience act – new cybersecurity rules for digital products and ancillary servicesTopicDigital economy and societyType of actProposal for a regulationFeedback period16 March 2022 - 25 May 2022,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13410-Cyber-resilience-act-new-cybersecurity-rules-for-digital-products-and-ancillary-services/feedback_en?p_id=15724,108.0,32,2.0,3.0,25.0,28.0,4.0,6.0,0.0,0.0,7.0,1.0,110.0,0.0,29.629629629629626,1.8518518518518516,2.7777777777777777,23.14814814814815,25.925925925925924,3.7037037037037033,5.555555555555555,0.0,0.0,6.481481481481481,0.9259259259259258,0.0
Data sharing in the EU – common European data spaces (new rules)TopicDigital economy and societyType of actProposal for a regulationFeedback period20 February 2020 - 03 June 2020,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12491-Data-sharing-in-the-EU-common-European-data-spaces-new-rules-/feedback_en?p_id=13256,107.0,2,0.0,7.0,37.0,31.0,11.0,10.0,2.0,0.0,4.0,3.0,113.0,0.0,1.8691588785046727,0.0,6.5420560747663545,34.57943925233645,28.971962616822427,10.2803738317757,9.345794392523365,1.8691588785046727,0.0,3.7383177570093453,2.803738317757009,0.0
Digital Services Act – deepening the internal market and clarifying responsibilities for digital servicesTopicDigital economy and societyType of actProposal for a regulationFeedback period02 June 2020 - 08 September 2020,Digital economy and society,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12417-Digital-Services-Act-deepening-the-internal-market-and-clarifying-responsibilities-for-digital-services/feedback_en?p_id=13125,110.0,7,0.0,7.0,29.0,40.0,16.0,3.0,3.0,0.0,4.0,1.0,108.0,0.0,6.363636363636363,0.0,6.363636363636363,26.36363636363636,36.36363636363637,14.545454545454545,2.727272727272727,2.727272727272727,0.0,3.6363636363636362,0.9090909090909091,0.0
